actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
199,uniform_smooth_170100,10,,0.0,0,,718.0,uniform,189,945.0,2714.0763201787563,smooth,388.4076320178757,patrol,10,170100,10,True,50.0,175.0,3884.076320178757,0.7653261000086786
167,uniform_biased_170101,11,,6.0,2,,718.0,uniform,154,770.0,2649.137211896797,biased,329.285201081527,patrol,11,170101,11,True,55.0,142.0,3622.137211896797,0.7366607000003569
171,uniform_hashed_170102,12,,0.0,0,,718.0,uniform,159,795.0,2279.778106876223,hashed,273.6481755730185,patrol,12,170102,12,True,60.0,149.0,3283.778106876222,0.7956814000062877
211,edge_smooth_170103,13,,3.0,1,,718.0,edge,197,985.0,3238.939978905795,smooth,344.37999837736885,patrol,13,170103,13,True,65.0,185.0,4476.939978905795,1.0543818000005558
185,edge_biased_161104,16,,3.0,1,,718.0,edge,168,840.0,3207.2014993721277,biased,267.88759371075804,patrol,16,161104,16,True,80.0,156.0,4286.201499372129,0.8756753000052413
192,edge_hashed_170105,15,,0.0,0,,718.0,edge,177,885.0,3861.310234858928,hashed,332.62068232392863,patrol,15,170105,15,True,75.0,168.0,4989.310234858929,0.9866914000012912
133,cluster_smooth_170106,16,,0.0,0,,718.0,cluster,117,585.0,1262.8768647265556,smooth,127.24230404540974,patrol,16,170106,16,True,80.0,108.0,2035.8768647265558,0.5636824999965029
142,cluster_biased_170107,10,,0.0,0,,718.0,cluster,132,660.0,1841.5059089438698,biased,267.65059089438694,patrol,10,170107,10,True,50.0,125.0,2676.5059089438696,0.6114637999999104
167,cluster_hashed_170108,11,,0.0,0,,718.0,cluster,156,780.0,1817.1005393701714,hashed,254.190958124561,patrol,11,170108,11,True,55.0,144.0,2796.100539370171,0.7725026999978581
153,line_smooth_170109,12,,0.0,0,,718.0,line,141,705.0,2323.0722929065687,smooth,268.4226910755474,patrol,12,170109,12,True,60.0,133.0,3221.0722929065687,0.8827993999875616
181,line_biased_170110,13,,6.0,2,,718.0,line,166,830.0,2167.0248422821533,biased,247.77114171401186,patrol,13,170110,13,True,65.0,153.0,3221.024842282154,0.8003172000026098
164,line_hashed_170111,14,,0.0,0,,718.0,line,150,750.0,2049.168305116685,hashed,214.8691646511918,patrol,14,170111,14,True,70.0,139.0,3008.168305116685,0.7751247999985935
