step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
119,,处理已发现目标,measure,17,21.33234400087533,-1788.8504255804537,found,found,22.004669946603748,10.976460660605042,731.1033677153295,146.22067354306589,1,5.0,152.22067354306589,3255.0509776820068,direction,194.3,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,9,4,7
120,,处理已发现目标,measure,11,21.33234400087533,-1788.8504255804537,found,found,315.2647562252855,16.635719848754352,0.0,0.0,1,5.0,6.0,3261.0509776820068,direction,12.29,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,9,4,7
121,,处理已发现目标,measure,3,21.33234400087533,-1788.8504255804537,found,found,363.2127529944359,303.2477484301296,0.0,0.0,1,5.0,6.0,3267.0509776820068,no_signal,,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,9,4,7
122,,处理已发现目标,clear,17,10.650069691048742,-1791.3746238424183,found,cleared,10.976460660605042,,10.97645486011244,2.1952909720224882,0,5.0,7.195290972022488,3274.2462686540293,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,8,4,8
123,,处理已发现目标,clear,11,694.5921098240549,-1641.973952888286,found,cleared,16.635719848754352,,700.0694785111285,140.0138957022257,0,5.0,145.0138957022257,3419.2601643562552,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,7,4,9
124,,处理已发现目标,measure,3,694.5921098240549,-1641.973952888286,found,found,303.2477484301296,27.63846472652708,0.0,0.0,0,5.0,5.0,3424.2601643562552,direction,34.07,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,7,4,9
125,,处理已发现目标,measure,3,1118.528910059599,-1355.4703768061402,found,found,27.63846472652708,18.66052185680254,511.67050892328115,102.33410178465623,0,5.0,107.33410178465623,3531.5942661409113,direction,31.18,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,7,4,9
126,,处理已发现目标,measure,5,1118.528910059599,-1355.4703768061402,found,found,415.18054668256303,24.895190050084278,0.0,0.0,1,5.0,6.0,3537.5942661409113,direction,51.82,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,7,4,9
127,,处理已发现目标,clear,3,1277.9683763201074,-1258.2142026775155,found,cleared,18.66052185680254,,186.76109554072866,37.35221910814573,0,5.0,42.35221910814573,3579.946485249057,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,6,4,10
128,,处理已发现目标,measure,5,1277.9683763201074,-1258.2142026775155,found,found,24.895190050084278,23.867425418515552,0.0,0.0,0,5.0,5.0,3584.946485249057,direction,57.01,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,6,4,10
