case,layout,noise,seed,policy,source_count,cleared,success,virtual_time_s,wall_time_s,planning_s,checks_s,actions,measure_count,scan_position_count,clear_attempts,failed_clears,fallback,fallback_actions,no_signal_count,error,move_s,switch_s,measure_s,clear_s
uniform_zero_100,uniform,zero,100,adaptive,12,12,True,6851.40628098745,1.8952807999994548,1.770839499982685,0.12086769999586977,329,317,95,12,0,True,22,124,,4948.4062809874495,258.0,1585.0,60.0
uniform_zero_100,uniform,zero,100,reference,12,12,True,7170.297578541278,0.5147513999982039,0.017459299986512633,0.494780599965452,424,88,7,336,324,True,424,76,,5617.297578541278,81.0,440.0,1032.0
edge_biased_101,edge,biased,101,adaptive,13,13,True,6779.042791224292,0.23544770000080462,0.18385820000912645,0.050319300000410294,191,178,51,13,0,True,10,119,,5680.042791224292,144.0,890.0,65.0
edge_biased_101,edge,biased,101,reference,13,13,True,7204.795228107967,0.3680547999974806,0.01396869998643524,0.3513399999792455,439,105,7,334,321,True,439,92,,5552.795228107966,99.0,525.0,1028.0
cluster_smooth_102,cluster,smooth,102,adaptive,14,14,True,3633.714861220993,0.6940625999995973,0.6447402000048896,0.04806239997196826,134,120,26,14,0,False,0,61,,2860.714861220993,103.0,600.0,70.0
cluster_smooth_102,cluster,smooth,102,reference,14,14,True,6564.06919015511,0.5583009000001766,0.017672400095761986,0.5379915999874356,413,58,7,355,341,True,413,44,,5129.069190155111,52.0,290.0,1093.0
line_hashed_103,line,hashed,103,adaptive,15,15,True,4195.330711799803,0.7515687000013713,0.695353899980546,0.054414500005805166,128,113,36,15,0,False,0,57,,3468.3307117998024,87.0,565.0,75.0
line_hashed_103,line,hashed,103,reference,15,15,True,5787.068485288676,0.36330439999801456,0.01721410000391188,0.34406850001687417,332,72,7,260,245,True,332,57,,4551.068485288676,66.0,360.0,810.0
