step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
120,,处理已发现目标,measure,8,936.3667289146631,-2.139637020778423,found,found,165.27112545459076,165.26566010303247,0.0,0.0,1,5.0,6.0,3070.951010724665,direction,359.33,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,5,5,10
121,,处理已发现目标,clear,14,878.1293723645053,2.070208525925982,found,cleared,14.872801793307126,,58.38931835085343,11.677863670170685,0,5.000000000000002,16.677863670170687,3087.6288743948357,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,4,5,11
122,,处理已发现目标,measure,2,878.1293723645053,2.070208525925982,found,found,300.02615097445795,300.02452927992294,0.0,0.0,1,5.0,6.0,3093.6288743948357,direction,359.08,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
123,,处理已发现目标,measure,8,878.1293723645053,2.070208525925982,found,found,165.26566010303247,165.26456063451636,0.0,0.0,1,5.0,6.0,3099.6288743948357,direction,359.01,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
124,,处理已发现目标,clear,6,885.0984311520168,-0.08468906992227154,found,found,40.91193334417695,35.80605430101032,7.294611986417334,1.4589223972834668,0,3.0,4.458922397283467,3104.087796792119,no_target_in_range,,completion_cell_clear,旧局部规则选择清除格试清,0,4,5,11
125,,处理已发现目标,measure,2,885.0984311520168,-0.08468906992227154,found,found,300.02452927992294,300.02452927992294,0.0,0.0,1,5.0,6.0,3110.087796792119,direction,359.37,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
126,,处理已发现目标,measure,8,885.0984311520168,-0.08468906992227154,found,found,165.26456063451636,165.26456063451633,0.0,0.0,1,5.0,6.0,3116.087796792119,direction,359.16,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
127,,处理已发现目标,clear,6,855.101810514225,0.36558896907944494,found,found,35.80605430101032,20.80437015167145,30.000000000000078,6.000000000000016,0,3.0,9.000000000000016,3125.087796792119,no_target_in_range,,completion_cell_clear,旧局部规则选择清除格试清,0,4,5,11
128,,处理已发现目标,measure,2,855.101810514225,0.36558896907944494,found,found,300.02452927992294,300.02452927992294,0.0,0.0,1,5.0,6.0,3131.087796792119,direction,359.29,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
129,,处理已发现目标,measure,8,855.101810514225,0.36558896907944494,found,found,165.26456063451633,165.26456063451633,0.0,0.0,1,5.0,6.0,3137.087796792119,direction,359.13,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
130,,处理已发现目标,clear,6,825.1051898764333,0.8158670080811596,found,found,20.80437015167145,5.802234741526238,29.999999999999964,5.999999999999993,0,3.0,8.999999999999993,3146.087796792119,no_target_in_range,,completion_cell_clear,旧局部规则选择清除格试清,0,4,5,11
131,,处理已发现目标,measure,2,825.1051898764333,0.8158670080811596,found,found,300.02452927992294,300.02452927992294,0.0,0.0,1,5.0,6.0,3152.087796792119,direction,359.21,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
132,,处理已发现目标,measure,8,825.1051898764333,0.8158670080811596,found,found,165.26456063451633,165.26456063451636,0.0,0.0,1,5.0,6.0,3158.087796792119,direction,359.09,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,5,11
133,,处理已发现目标,clear,6,804.3201850127161,1.9828450001635947,found,cleared,5.802234741526238,,20.8177391860584,4.16354783721168,0,5.000000000000001,9.16354783721168,3167.251344629331,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,3,5,12
134,,处理已发现目标,measure,2,804.3201850127161,1.9828450001635947,found,found,300.02452927992294,300.0241044001131,0.0,0.0,1,5.0,6.0,3173.251344629331,direction,359.07,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,3,5,12
135,,处理已发现目标,measure,8,804.3201850127161,1.9828450001635947,found,found,165.26456063451636,165.2644266992376,0.0,0.0,1,5.0,6.0,3179.251344629331,direction,359.01,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,3,5,12
136,,处理已发现目标,clear,7,1216.0725353964885,-1.0858521612640801,found,cleared,16.1091736438031,,411.7637853780119,82.35275707560238,0,5.0,87.35275707560238,3266.6041017049333,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,2,5,13
137,,处理已发现目标,measure,2,1216.0725353964885,-1.0858521612640801,found,found,300.0241044001131,283.03094485737756,0.0,0.0,1,5.0,6.0,3272.6041017049333,direction,1.23,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,2,5,13
138,,处理已发现目标,measure,8,1216.0725353964885,-1.0858521612640801,found,found,165.2644266992376,165.23552790040085,0.0,0.0,1,5.0,6.0,3278.6041017049333,direction,359.4,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,2,5,13
139,,处理已发现目标,measure,2,1456.0128282682244,55.18982993666306,found,found,283.03094485737756,14.11909887971273,246.45140806853053,49.29028161370611,1,5.0,55.29028161370611,3333.8943833186395,direction,199.03,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,2,5,13
140,,处理已发现目标,measure,8,1456.0128282682244,55.18982993666306,found,found,165.23552790040085,59.03126628126317,0.0,0.0,1,5.0,6.0,3339.8943833186395,direction,346.28,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,2,5,13
141,,处理已发现目标,clear,2,1297.9018874608253,0.9115360099762719,found,cleared,14.11909887971273,,167.1681871487296,33.43363742974592,0,5.0,38.43363742974592,3378.3280207483854,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,1,5,14
142,,处理已发现目标,measure,8,1297.9018874608253,0.9115360099762719,found,found,59.03126628126317,52.33117319896444,0.0,0.0,0,5.0,5.0,3383.3280207483854,direction,359.19,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,1,5,14
143,,处理已发现目标,measure,8,1529.0154460259794,-62.90169203632719,found,found,52.33117319896444,12.178399501471059,239.76155869183543,47.95231173836709,0,5.0,52.95231173836709,3436.2803324867523,direction,20.91,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,1,5,14
144,,处理已发现目标,clear,8,1689.8190447210764,-1.6861725582020826,found,cleared,12.178399501471059,,172.06143431423124,34.412286862846244,0,5.0,39.412286862846244,3475.6926193495983,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,0,5,15
