case,layout,noise,n,baseline_min,new_min,saving_min,baseline_per_source_s,new_per_source_s
stress_0_190100,stress,zero,10,80.3780412378901,79.51321695233801,0.8648242855520948,482.2682474273406,477.079301714028
stress_1_190101,stress,biased,16,78.84690049610707,86.66566092672537,-7.818760430618295,295.6758768604015,324.9962284752201
stress_2_190102,stress,zero,10,77.21377839204789,77.18051395563985,0.03326443640802002,463.28267035228725,463.08308373383915
stress_3_190103,stress,biased,16,78.64846365471415,73.74171859916368,4.906745055550482,294.9317387051781,276.53144474686377
stress_4_190104,stress,zero,10,41.516666666666666,48.98124326640563,-7.464576599738962,249.1,293.8874595984338
stress_5_190105,stress,biased,16,13.016666666666667,24.54221209641431,-11.525545429747645,48.8125,92.03329536155367
stress_6_190106,stress,zero,10,64.75361623307633,57.50438942178567,7.2492268112906535,388.52169739845795,345.02633653071405
stress_7_190107,stress,biased,16,68.86609261434386,57.26292364909077,11.603168965253083,258.24784730378946,214.7359636840904
