actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
188,uniform_smooth_170100,10,,0.0,0,,638.0,uniform,178,890.0,2325.0368546005384,smooth,343.5036854600538,patrol,10,170100,10,True,50.0,170.0,3435.036854600538,0.7958051999885356
171,uniform_biased_170101,11,,3.0,1,,638.0,uniform,159,795.0,2474.8438121432328,biased,315.9858011039302,patrol,11,170101,11,True,55.0,148.0,3475.8438121432323,0.7960702999989735
186,uniform_hashed_170102,12,,0.0,0,,638.0,uniform,174,870.0,2325.1773440140882,hashed,285.01477866784063,patrol,12,170102,12,True,60.0,165.0,3420.177344014088,0.8011684000084642
217,edge_smooth_170103,13,,0.0,0,,638.0,edge,204,1020.0,3499.420824399715,smooth,367.41698649228573,patrol,13,170103,13,True,65.0,192.0,4776.420824399715,0.9885221000004094
217,edge_biased_161104,16,,6.0,2,,638.0,edge,199,995.0,3286.680936560305,biased,284.542558535019,patrol,16,161104,16,True,80.0,185.0,4552.680936560304,1.0778005000029225
213,edge_hashed_170105,15,,0.0,0,,638.0,edge,198,990.0,3306.93118933802,hashed,303.86207928920135,patrol,15,170105,15,True,75.0,186.0,4557.93118933802,1.1207434999960242
158,cluster_smooth_170106,16,,0.0,0,,638.0,cluster,142,710.0,1754.6598249519072,smooth,167.2912390594942,patrol,16,170106,16,True,80.0,132.0,2676.659824951907,0.8472763000027044
158,cluster_biased_170107,10,,0.0,0,,638.0,cluster,148,740.0,1870.1119482336753,biased,279.7111948233676,patrol,10,170107,10,True,50.0,137.0,2797.111948233676,0.7717740000080084
184,cluster_hashed_170108,11,,0.0,0,,638.0,cluster,173,865.0,1905.6137002912865,hashed,271.51033639011706,patrol,11,170108,11,True,55.0,161.0,2986.613700291288,0.8104000000021188
204,line_smooth_170109,12,,0.0,0,,638.0,line,192,960.0,2258.4089759512744,smooth,288.0340813292728,patrol,12,170109,12,True,60.0,178.0,3456.4089759512735,0.9788935000105994
183,line_biased_170110,13,,0.0,0,,638.0,line,170,850.0,2080.7108051914392,biased,242.74698501472614,patrol,13,170110,13,True,65.0,160.0,3155.7108051914397,0.914517800003523
187,line_hashed_170111,14,,0.0,0,,638.0,line,173,865.0,2080.578966455135,hashed,226.68421188965246,patrol,14,170111,14,True,70.0,158.0,3173.5789664551344,0.9239790999999968
