actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
217,stress_0_190100,10,,6.0,2,,418.0000001028847,stress,205,1025.0,3497.793017140279,zero,477.079301714028,patrol,10,190100,10,True,50.0,192.0,4770.79301714028,0.9149063999939244
247,stress_1_190101,16,,3.0,1,,418.0000001028847,stress,230,1150.0,3746.9396556035217,biased,324.9962284752201,patrol,16,190101,16,True,80.0,220.0,5199.939655603522,0.9218594000121811
208,stress_2_190102,10,,0.0,0,,418.0000001028847,stress,198,990.0,3403.8308373383925,zero,463.08308373383915,patrol,10,190102,10,True,50.0,187.0,4630.830837338392,0.8355520000040997
247,stress_3_190103,16,,3.0,1,,418.0000001028847,stress,230,1150.0,2975.5031159498194,biased,276.53144474686377,patrol,16,190103,16,True,80.0,216.0,4424.50311594982,1.118863900002907
185,stress_4_190104,10,,0.0,0,,418.0000001028847,stress,175,875.0,1848.8745959843382,zero,293.8874595984338,patrol,10,190104,10,True,50.0,165.0,2938.8745959843377,0.7916274999879533
138,stress_5_190105,16,,6.0,2,,418.0000001028847,stress,120,600.0,671.5327257848584,biased,92.03329536155367,patrol,16,190105,16,True,80.0,115.0,1472.5327257848587,0.26023430000350345
189,stress_6_190106,10,,0.0,0,,418.0000001028847,stress,179,895.0,2340.2633653071402,zero,345.02633653071405,patrol,10,190106,10,True,50.0,165.0,3450.2633653071402,1.0416686000098707
194,stress_7_190107,16,,3.0,1,,418.0000001028847,stress,177,885.0,2308.775418945447,biased,214.7359636840904,patrol,16,190107,16,True,80.0,159.0,3435.7754189454463,1.0808525000029476
