step,service_step,phase,kind,channel,x_m,y_m,before_status,after_status,before_radius_m,after_radius_m,movement_m,move_s,switch_s,operation_s,step_s,total_s,result,bearing_deg,reason,reason_explanation,unknown,found,absent,cleared
100,,处理已发现目标,clear,12,1279.9351219973157,-164.9067522729526,found,cleared,10.165598119408454,,504.4608931496876,100.89217862993752,0,5.0,105.89217862993752,2537.896589010582,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,7,7,6
101,,处理已发现目标,measure,20,796.4656125696382,-1213.4184210490948,found,found,311.345576917042,40.35610922123279,1154.6079361003758,230.92158722007517,1,5.0,236.92158722007517,2774.818176230657,direction,258.11,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,7,7,6
102,,处理已发现目标,measure,20,812.8367356640248,-1428.6922975428329,found,found,40.35610922123279,18.37630866706837,215.89547371821564,43.17909474364313,0,5.0,48.17909474364313,2822.9972709743,direction,239.22,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,7,7,6
103,,处理已发现目标,measure,4,812.8367356640248,-1428.6922975428329,found,found,24.026363671232023,11.254254672478558,0.0,0.0,1,5.0,6.0,2828.9972709743,direction,171.55,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,7,7,6
104,,处理已发现目标,clear,20,717.1751600074019,-1589.9132818329963,found,cleared,18.37630866706837,,187.46557772721076,37.49311554544215,0,5.0,42.49311554544215,2871.490386519742,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,6,7,7
105,,处理已发现目标,clear,4,228.48182921732723,-1331.4165834402409,found,cleared,11.254254672478558,,552.8487267224666,110.56974534449333,0,5.0,115.56974534449333,2987.0601318642352,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,5,7,8
106,,处理已发现目标,measure,5,-439.4087240375329,-815.4159558632864,found,found,25.071435138181503,15.909142101194576,843.9990751102124,168.79981502204248,1,5.0,174.79981502204248,3161.8599468862776,direction,136.37,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,5,7,8
107,,处理已发现目标,clear,5,-571.2742145419518,-692.0893899494426,found,cleared,15.909142101194576,,180.5490222794702,36.109804455894036,0,5.0,41.109804455894036,3202.9697513421715,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,4,7,9
108,,处理已发现目标,measure,14,-571.2742145419518,-692.0893899494426,found,found,75.47553983169469,16.70248720717547,0.0,0.0,1,5.0,6.0,3208.9697513421715,direction,114.77,completion_shared_probe,旧局部评价选择原地补测；仍使用旧W/G规则,0,4,7,9
109,,处理已发现目标,clear,17,-915.2881675984712,-148.68560330662277,found,cleared,0.21839696396045208,,643.1432773770775,128.6286554754155,0,5.0,133.6286554754155,3342.598406817587,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,3,7,10
110,,处理已发现目标,clear,14,-920.7415378983163,64.93073851990506,found,cleared,16.70248720717547,,213.68593950696715,42.737187901393426,0,5.0,47.737187901393426,3390.3355947189807,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,2,7,11
111,,处理已发现目标,clear,16,-303.8120340735977,-1.902355151704007,found,cleared,16.267792139721276,,620.539019803857,124.10780396077139,0,4.999999999999986,129.10780396077138,3519.443398679752,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,1,7,12
112,,处理已发现目标,measure,2,321.0269775069563,1475.3674779243886,found,found,20.266297760641937,6.789954408504506,1603.9794107499106,320.7958821499821,1,5.0,326.7958821499821,3846.239280829734,direction,342.52,completion_measure_then_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_measure_then_clear,0,1,7,12
113,,处理已发现目标,clear,2,327.4666101789699,1473.2146813364548,found,cleared,6.789954408504506,,6.789948608014983,1.3579897216029966,0,5.0,6.357989721602997,3852.5972705513373,success,,completion_certified_clear,按冻结策略理由代码执行；未从日志补造未记录的评分：completion_certified_clear,0,0,7,13
