case,layout,noise,current_min,f1_min,f2_min,f3_min
uniform_hashed_269525288,uniform,hashed,59.53479056040548,58.93479056040549,59.8723014853852,57.62936327253624
uniform_smooth_280100,uniform,smooth,53.06534044519824,52.76534044519824,52.85140856929288,53.821373747032425
edge_smooth_280106,edge,smooth,80.12108112330579,80.12108112330579,80.12108112330579,79.85971497580312
cluster_smooth_280113,cluster,smooth,47.695079097073524,47.21174576374019,47.446413437117435,47.446413437117435
line_smooth_280119,line,smooth,54.14135567324914,53.758022339915804,53.758022339915804,53.63428266964491
